model,mode,n,correct,acc,boot_lo,boot_hi,boot_halfwidth,wilson_lo,wilson_hi,avg_tokens,tok_boot_lo,tok_boot_hi
Llama-3.2-3B,natural,300,203,0.6767,0.6233,0.7267,0.0517,0.6218,0.7271,1071.03,1039.1,1103.3
Llama-3.2-3B,constrained,300,204,0.68,0.6267,0.7333,0.0533,0.6252,0.7302,1066.01,1036.1,1096.2
Llama-3.2-3B,structured,300,211,0.7033,0.65,0.7533,0.0517,0.6493,0.7522,1066.64,1038.1,1096.0
Gemma2-2B,natural,300,198,0.66,0.6033,0.71,0.0533,0.6047,0.7113,759.48,726.2,795.2
Gemma2-2B,constrained,300,198,0.66,0.6067,0.7133,0.0533,0.6047,0.7113,759.48,725.8,795.8
Gemma2-2B,structured,300,211,0.7033,0.6533,0.7533,0.05,0.6493,0.7522,675.15,658.2,694.1
DeepSeek-R1-1.5B,natural,300,214,0.7133,0.66,0.7633,0.0517,0.6597,0.7616,1549.66,1480.4,1623.2
DeepSeek-R1-1.5B,constrained,300,215,0.7167,0.6667,0.7667,0.05,0.6632,0.7647,1431.58,1370.8,1494.7
DeepSeek-R1-1.5B,structured,300,199,0.6633,0.61,0.7167,0.0533,0.6081,0.7144,1919.0,1872.9,1963.0
Qwen2.5-7B,natural,300,165,0.55,0.4933,0.6067,0.0567,0.4934,0.6053,2921.24,2917.9,2924.5
Qwen2.5-7B,constrained,300,157,0.5233,0.4667,0.58,0.0567,0.4669,0.5792,2529.29,2526.1,2532.6
Qwen2.5-7B,structured,300,164,0.5467,0.49,0.6033,0.0567,0.4901,0.6021,2523.01,2519.3,2526.8
Mistral-7B,natural,300,190,0.6333,0.5767,0.6867,0.055,0.5774,0.6859,870.84,853.8,889.1
Mistral-7B,constrained,300,188,0.6267,0.57,0.68,0.055,0.5707,0.6795,868.26,851.5,885.6
Mistral-7B,structured,300,187,0.6233,0.5667,0.6767,0.055,0.5673,0.6763,870.36,852.4,889.6
